Название книги;Цена со скидкой;Цена без скидки;Скидка %;Автор;Издательство;Наличие;Ссылка
R. Книга рецептов. Проверенные рецепты для статистики, анализа и визуализации;3059;4370;30;Лонг, Титор;ДМК-Пресс;На складе;https://www.labirint.ru/books/735550/
Графовые алгоритмы. Практическая реализация на платформах  Apache Spark и Neo4j;1868;2668;30;Нидхем, Ходлер;ДМК-Пресс;На складе;https://www.labirint.ru/books/735551/
Python. Непрерывная интеграция и доставка;1273;1819;30;Ленц Мориц;ДМК-Пресс;На складе;https://www.labirint.ru/books/735072/
Программирование GPU при помощи Python и CUDA;1700;2428;30;Тоуманнен Бриан;ДМК-Пресс;На складе;https://www.labirint.ru/books/735073/
Java. Библиотека профессионала. Том 2. Расширенные средства программирования;4320;6172;30;Хорстманн Кей С.;Вильямс;На складе;https://www.labirint.ru/books/732481/
Волшебство Kotlin;2465;3521;30;Симон Пьер-Ив;ДМК-Пресс;На складе;https://www.labirint.ru/books/731858/
Методы и алгоритмы решения прикладных задач дискретной оптимизации. Учебное пособие;680;972;30;Карпов, Струченков;Солон-пресс;На складе (ограниченное количество);https://www.labirint.ru/books/731109/
Обработка естественного языка с TensorFlow;2719;3884;30;Ганегедара Тушан;ДМК-Пресс;На складе;https://www.labirint.ru/books/731110/
Моделирование химико-технологических процессов. Принципы применения пакетов компютерн. математики;3035;4335;30;Гартман, Клушин;Лань;На складе (ограниченное количество);https://www.labirint.ru/books/730272/
Клиентские технологии веб-программирования. JavaScript и DOM;1257;1795;30;Диков Андрей Валентинович;Лань;На складе;https://www.labirint.ru/books/730281/
Алгоритмы. Вводный курс;1440;2057;30;Кормен Томас;Вильямс;На складе (ограниченное количество);https://www.labirint.ru/books/730139/
Программирование встроенных систем на С++ 17. Создание универсальных и надежных встроенных решений;2209;3155;30;Пошевай Майа;ДМК-Пресс;На складе;https://www.labirint.ru/books/730111/
ELIXIR в действии;2548;3640;30;Юрич Саша;ДМК-Пресс;На складе;https://www.labirint.ru/books/729577/
Глубокое обучение для поисковых систем;1700;2428;30;Теофили Томмазо;ДМК-Пресс;На складе;https://www.labirint.ru/books/728966/
Введение в программирование на языке Visual Basic for Applications (VBA). Учебное пособие;1721;2459;30;Гуриков Сергей Ростиславович;ИНФРА-М;На складе;https://www.labirint.ru/books/728809/
Байесовский анализ на Python;2038;2912;30;Мартин Освальдо;ДМК-Пресс;На складе;https://www.labirint.ru/books/728419/
Состязательные сети. Проекты;1530;2185;30;Ахирвар Кайлаш;ДМК-Пресс;На складе (ограниченное количество);https://www.labirint.ru/books/728421/
Разработка мобильных приложений на C# для iOS и Android;1359;1941;30;Черников Вячеслав;ДМК-Пресс;На складе;https://www.labirint.ru/books/727089/
Как стать хакером;2038;2912;30;Притяну Эдриан;ДМК-Пресс;На складе;https://www.labirint.ru/books/726195/
Глубокое обучение и игра в го;2719;3884;30;Памперла, Фергюсон;ДМК-Пресс;На складе;https://www.labirint.ru/books/725227/
Бессерверные приложения на JavaScipt;1954;2791;30;Стоянович, Симович;ДМК-Пресс;На складе;https://www.labirint.ru/books/723475/
Программирование в среде Delphi. Основные команды. Первые проекты;529;755;30;Саблукова Наталья Геннадьевна;Лань;На складе (ограниченное количество);https://www.labirint.ru/books/721511/
Компьютерный анализ и моделирование электрических цепей переменного тока в среде MATLAB;312;446;30;Нет данных об авторе;Солон-пресс;На складе (ограниченное количество);https://www.labirint.ru/books/721819/
Компьютерный анализ и моделирование электрических цепей переменного тока в среде MATLAB;453;647;30;Нет данных об авторе;Солон-пресс;На складе (ограниченное количество);https://www.labirint.ru/books/721820/
Компьютерный анализ и моделирование электрических цепей постоянного тока в среде MATLAB;198;283;30;Нет данных об авторе;Солон-пресс;На складе (ограниченное количество);https://www.labirint.ru/books/721821/
Компьютерный анализ и моделирование электрических цепей постоянного тока в среде MATLAB;453;647;30;Нет данных об авторе;Солон-пресс;На складе;https://www.labirint.ru/books/721822/
Компьютерный анализ четырехполюсников с помощью MATLAB;651;930;30;Нет данных об авторе;Солон-пресс;На складе;https://www.labirint.ru/books/721823/
Компьютерный спектральный анализ сигналов с помощью MATLAB;624;891;30;Нет данных об авторе;Солон-пресс;На складе (ограниченное количество);https://www.labirint.ru/books/721826/
Компьютерный спектральный анализ сигналов с помощью MATLAB;256;365;30;Нет данных об авторе;Солон-пресс;На складе (ограниченное количество);https://www.labirint.ru/books/721828/
VHDL. Справочное пособие по основам языка;1189;1698;30;Бабак, Филоненко, Корченко;ДМК-Пресс;На складе (ограниченное количество);https://www.labirint.ru/books/720515/
Математическое программирование. Учебное пособие;2793;3990;30;Ржевский Сергей Владимирович;Лань;На складе (ограниченное количество);https://www.labirint.ru/books/719101/
Практика нейросетевого моделирования. Учебное пособие;1830;2614;30;Хливненко, Пятакович;Лань;На складе (ограниченное количество);https://www.labirint.ru/books/719103/
Эффективное использование С++. 55 верных способов улучшить структуру и код ваших программ;1189;1698;30;Мэйерс Скотт;ДМК-Пресс;На складе;https://www.labirint.ru/books/427982/
Программирование микроконтроллеров ATMEL на языке C;855;1221;30;Прокопенко Вадим Сергеевич;Корона-Принт;На складе;https://www.labirint.ru/books/379809/
Основы программирования на языке PascalABC.NET. Основные управляющие структуры. Практикум;899;1284;30;Ковалёва Зося Александровна;Лань;На складе (ограниченное количество);https://www.labirint.ru/books/1003320/
Python. Разработка на основе тестирования;3230;4614;30;Персиваль Гарри;ДМК-Пресс;На складе (ограниченное количество);https://www.labirint.ru/books/641696/
Моделирование и анализ в среде R с использованием пакета Shiny. Учебно-методическое пособие;480;686;30;Лукьянов Павел Борисович;Прометей;На складе (ограниченное количество);https://www.labirint.ru/books/941786/
Искусственный интеллект с примерами на Python. Создание приложений искусственного интеллекта;2881;4115;30;Джоши Пратик;Вильямс;На складе;https://www.labirint.ru/books/681061/
Алгоритмы эволюционной оптимизации;3398;4854;30;Саймон Дэн;ДМК-Пресс;На складе;https://www.labirint.ru/books/718865/
Клиентские технологии веб-дизайна. HTML5 и CSS3. Учебное пособие;1735;2478;30;Диков Андрей Валентинович;Лань;На складе;https://www.labirint.ru/books/717060/
Технология разработки программного обеспечения. Учебное пособие;2329;3327;30;Зубкова Татьяна Михайловна;Лань;На складе;https://www.labirint.ru/books/717061/
Docker на практике;2719;3884;30;Миллан, Сейерс;ДМК-Пресс;На складе;https://www.labirint.ru/books/716923/
Swift подробно;2719;3884;30;Чейрд Инт Вейн;ДМК-Пресс;На складе (ограниченное количество);https://www.labirint.ru/books/716924/
Java. Справочник разработчика;2881;4115;30;Эванс, Флэнаган;Вильямс;На складе (ограниченное количество);https://www.labirint.ru/books/715697/
Компьютерное моделирование полупроводниковых систем в MatLab 6.0. Учебное пособие;301;430;30;Герман-Галкин Сергей Германович;Корона-Принт;На складе (ограниченное количество);https://www.labirint.ru/books/128794/
Идиомы и паттерны проектирования в современном С++;2209;3155;30;Пикус Федор Г.;ДМК-Пресс;На складе (ограниченное количество);https://www.labirint.ru/books/714256/
Изучаем Python. Том 1;3648;5212;30;Лутц Марк;Диалектика;На складе (ограниченное количество);https://www.labirint.ru/books/713013/
Машинное обучение и безопасность. Защита систем с помощью данных и алгоритмов;1784;2548;30;Чио, Фримэн;ДМК-Пресс;На складе;https://www.labirint.ru/books/712299/
Разработка интеллектуальных систем. Введение в технологию машинного обучения;1530;2185;30;Хултен Джефф;ДМК-Пресс;На складе;https://www.labirint.ru/books/712300/
Объектно-ориентированное программирование с примерами на C#. Учебное пособие;1411;2015;30;Хорев Павел Борисович;Форум;На складе (ограниченное количество);https://www.labirint.ru/books/710484/
Применение пакета MATLAB для анализа резонансных явлений в электрических цепях. Учебно-мет. пособие;312;446;30;Нет данных об авторе;Солон-пресс;На складе;https://www.labirint.ru/books/710643/
Применение пакета MATLAB для анализа резонансных явлений в электрических цепях. Учебно-мет. пособие;624;891;30;Нет данных об авторе;Солон-пресс;На складе;https://www.labirint.ru/books/710644/
Программирование. Сборник задач. Учебное пособие;2052;2932;30;Архипов, Батасова, Гречкина;Лань;На складе (ограниченное количество);https://www.labirint.ru/books/709840/
Python. Книга Рецептов;3059;4370;30;Бизли, Джонс;ДМК-Пресс;На складе;https://www.labirint.ru/books/708689/
Практика реактивного программирования в SPRING 5;2889;4127;30;Докука, Лозинский;ДМК-Пресс;На складе;https://www.labirint.ru/books/709075/
Нейросетевые методы в обработке естественного языка;2548;3640;30;Гольдберг Йоав;ДМК-Пресс;На складе;https://www.labirint.ru/books/707569/
Объектно-ориентированное программирование. Учебник;5740;8200;0;Барков Игорь Александрович;Лань;На складе (ограниченное количество);https://www.labirint.ru/books/706953/
Практическое введение в программную инженерию. Учебное пособие для вузов;1973;2819;30;Волк Владимир Константинович;Лань;На складе (ограниченное количество);https://www.labirint.ru/books/706954/
Изучаем TypeScript 3;3059;4370;30;Розенталс Натан;ДМК-Пресс;На складе (ограниченное количество);https://www.labirint.ru/books/705432/
Введение в веб-разработку на языке JavaScript. Учебное пособие;1592;2274;30;Государев Илья Борисович;Лань;На складе (ограниченное количество);https://www.labirint.ru/books/704351/
Программирование компьютерной графики;1784;2548;30;Боресков Алексей Викторович;ДМК-Пресс;На складе;https://www.labirint.ru/books/705003/
Основы теории вейвлетов. Вейвлеты в Matlab;1700;2428;30;Смоленцев Николай Константинович;ДМК-Пресс;На складе;https://www.labirint.ru/books/703822/
Изучаем React;1665;2378;30;Чиннатамби Кирупа;Бомбора;На складе;https://www.labirint.ru/books/703880/
Изучение сложных систем с помощью Python;1275;1822;30;Дауни Аллен Б.;ДМК-Пресс;На складе;https://www.labirint.ru/books/702506/
Вероятностное программирование на Python. Байесовский вывод и алгоритмы;1527;2181;30;Дэвидсон-Пайлон Кэмерон;Питер;На складе (ограниченное количество);https://www.labirint.ru/books/702249/
Легкий способ выучить Python 3;1010;1443;30;Шоу Зед А.;Бомбора;На складе;https://www.labirint.ru/books/701052/
Jenkins 2. Приступаем к работе. Создайте свой конвейер развертывания для автоматизации следующего п.;3230;4614;30;Ластер Брент;ДМК-Пресс;На складе;https://www.labirint.ru/books/699485/
Реактивное программирование на С++. Проектирование параллельных и асинхронных приложений с использов;2038;2912;30;Пай, Абрахам;ДМК-Пресс;На складе;https://www.labirint.ru/books/699486/
Изображение квантовых процессов. Начальный курс квантовой теории и рассуждений на диаграммах;3824;5463;30;Коке, Киссинждер;ДМК-Пресс;На складе;https://www.labirint.ru/books/699068/
Unreal Engine VR для разработчиков;1474;2105;30;Маккефри Митч;Бомбора;На складе (ограниченное количество);https://www.labirint.ru/books/696342/
Django 2 в примерах;2209;3155;30;Меле Антонио;ДМК-Пресс;На складе;https://www.labirint.ru/books/698238/
Глубокое обучение без математики. Том 1. Основы;3398;4854;30;Гласснер Эндрю;ДМК-Пресс;На складе;https://www.labirint.ru/books/698239/
Программирование и основы алгоритмизации.Теоретические основы и примеры реализации численных методов;804;1149;30;Затонский, Бильфельд;РИОР;На складе (ограниченное количество);https://www.labirint.ru/books/698026/
Программное обеспечение компьютерных сетей и web-серверов. Учебное пособие;783;1118;30;Лисьев, Романов, Аскерко;ИНФРА-М;На складе;https://www.labirint.ru/books/698028/
Глубокое обучение и TensorFlow для профессионалов. Математический подход к построению систем;2209;3155;30;Паттанаяк Сантану;Вильямс;На складе;https://www.labirint.ru/books/698175/
Введение в анализ алгоритмов;1530;2185;30;Солтис Майкл;ДМК-Пресс;На складе;https://www.labirint.ru/books/697731/
Анализ вредоносных программ;2379;3398;30;Монаппа К. А.;ДМК-Пресс;На складе (ограниченное количество);https://www.labirint.ru/books/696457/
Java. Библиотека профессионала. Том 1. Основы;3648;5212;30;Хорстманн Кей С.;Диалектика;На складе (ограниченное количество);https://www.labirint.ru/books/695676/
JavaScript. Карманный справочник;1056;1509;30;Флэнаган Дэвид;Диалектика;На складе (ограниченное количество);https://www.labirint.ru/books/695677/
Микросервисы и контейнеры Docker;1700;2428;30;Кочер Парминдер Сингх;ДМК-Пресс;На складе;https://www.labirint.ru/books/691503/
Биометрическая защита. Обзор технологии;253;362;30;Суомалайнен Антти;ДМК-Пресс;На складе;https://www.labirint.ru/books/693182/
Программирование в Erlang;1700;2428;30;Томпсон, Чезарини;ДМК-Пресс;На складе;https://www.labirint.ru/books/335424/
Искусство программирования. Том 2. Получисленные алгоритмы;4320;6172;30;Кнут Дональд Эрвин;Диалектика;На складе (ограниченное количество);https://www.labirint.ru/books/512884/
Искусственный интеллект для чайников;1440;2057;30;Мюллер, Массарон;Диалектика;На складе (ограниченное количество);https://www.labirint.ru/books/689151/
Компьютерное зрение. Теория и алгоритмы;3568;5097;30;Клетте Рейнхард;ДМК-Пресс;На складе;https://www.labirint.ru/books/687699/
Алгоритмизация и программирование. Практикум. Учебное пособие;1691;2416;30;Андрианова, Исмагилов, Мухтарова;Лань;На складе;https://www.labirint.ru/books/686872/
Структуры и алгоритмы обработки данных. Линейные структуры. Учебное пособие;1320;1885;30;Апанасевич Сергей Александрович;Лань;На складе;https://www.labirint.ru/books/686873/
PostgreSQL 11. Мастерство разработки;2295;3278;30;Шениг Ганс-Юрген;ДМК-Пресс;На складе;https://www.labirint.ru/books/685536/
Разработка АСУТП в среде WinCC. Учебное пособие;1551;2216;30;Иванов, Чье;Инфра-Инженерия;На складе;https://www.labirint.ru/books/683384/
Автоматизация программируемых сетей;2548;3640;30;Эделман, Лоу, Осуолт;ДМК-Пресс;На складе;https://www.labirint.ru/books/683383/
Прикладная обработка биомедицинских изображений в среде MATLAB. Учебное пособие;673;962;30;Федотов Александр Александрович;Лань;На складе;https://www.labirint.ru/books/683031/
Изучаем pandas;3230;4614;30;Хейдт, Груздев;ДМК-Пресс;На складе;https://www.labirint.ru/books/682545/
Умные мобильные проекты с TensorFlow;1700;2428;30;Танг Джефф;ДМК-Пресс;На складе (ограниченное количество);https://www.labirint.ru/books/682546/
Алгоритмы на Java;5760;8229;0;Седжвик, Уэйн;Вильямс;На складе;https://www.labirint.ru/books/512969/
C++. Полное руководство. Классическое издание;4320;6172;30;Шилдт Герберт;Вильямс;На складе (ограниченное количество);https://www.labirint.ru/books/681057/
Spring 5 для профессионалов;5760;8229;0;Шефер, Харроп, Козмина;Вильямс;На складе (ограниченное количество);https://www.labirint.ru/books/681059/
Искусственный интеллект с примерами на Python. Создание приложений искусственного интеллекта;2881;4115;30;Джоши Пратик;Вильямс;На складе;https://www.labirint.ru/books/681061/
Цифровизация процессов управления  медико-гигиеническими рисками на производственных предприятиях;1418;2026;30;Шипилов Игорь Викторович;Наш круг;На складе;https://www.labirint.ru/books/946802/
Программирование в Roblox. Сделать игру - проще простого;1700;2428;30;Брамбо Зандер;ДМК-Пресс;На складе;https://www.labirint.ru/books/859415/
Python. Разработка на основе тестирования;3230;4614;30;Персиваль Гарри;ДМК-Пресс;На складе (ограниченное количество);https://www.labirint.ru/books/641696/
Программирование микроконтроллеров ATMEL на языке C;855;1221;30;Прокопенко Вадим Сергеевич;Корона-Принт;На складе;https://www.labirint.ru/books/379809/
Олимпиадное программирование;1784;2548;30;Лааксонен Антти;ДМК-Пресс;На складе;https://www.labirint.ru/books/776224/
Анализ алгоритмов. Активный обучающий подход;496;708;30;Макконнел Джеффри Дж.;Техносфера;На складе;https://www.labirint.ru/books/939430/
Основы машинного обучения для аналитического прогнозирования. Алгоритмы, рабочие примеры;3648;5212;30;Келлехер, Мак-Нейми, д`Арси;Диалектика;На складе;https://www.labirint.ru/books/681063/
Внедрение Splunk 7;2209;3155;30;Миллер Джеймс;ДМК-Пресс;На складе;https://www.labirint.ru/books/678477/
Java за 24 часа;1440;2057;30;Кейденхед Роджерс;Диалектика;На складе (ограниченное количество);https://www.labirint.ru/books/678097/
Mathematica 5/6/7. Полное руководство;1530;2185;30;Дьяконов Владимир Павлович;ДМК-Пресс;На складе (ограниченное количество);https://www.labirint.ru/books/676763/
Простой Python просто с нуля;989;1413;30;Гаско Рик;Солон-пресс;На складе (ограниченное количество);https://www.labirint.ru/books/676178/
C++. Базовый курс;2881;4115;30;Шилдт Герберт;Диалектика;На складе;https://www.labirint.ru/books/512961/
Моделирование объектов управления в MatLab. Учебное пособие;1397;1995;30;Затонский, Тугашова;Лань;На складе;https://www.labirint.ru/books/676122/
Основы алгоритмизации и программирования (ОП.04). Практикум;370;529;30;Серкова Екатерина Геннадьевна;Феникс;На складе;https://www.labirint.ru/books/675540/
Компиляторы. Принципы, технологии и инструментарий;7200;10286;0;Ахо, Ульман, Лам;Диалектика;На складе;https://www.labirint.ru/books/512936/
Архитектура вычислительных систем и Ассемблер;1259;1799;30;Гагарина, Кононова;Солон-пресс;На складе;https://www.labirint.ru/books/674778/
Delphi. Программирование в примерах и задачах. Практикум. Учебное пособие;774;1106;30;Милорадов, Эйдлина;РИОР;На складе (ограниченное количество);https://www.labirint.ru/books/674449/
Java. Эффективное программирование. Третье издание;3648;5212;30;Блох Джошуа;Диалектика;На складе;https://www.labirint.ru/books/674797/
Kubernetes в действии;2719;3884;30;Лукша Марко;ДМК-Пресс;На складе;https://www.labirint.ru/books/673939/
Пользовательские истории. Гибкая разработка программного обеспечения;2881;4115;30;Кон Майк;Диалектика;На складе;https://www.labirint.ru/books/673282/
Паскаль для школьников. Учебное пособие;2069;2956;30;Попов В. Б.;РИОР;На складе (ограниченное количество);https://www.labirint.ru/books/672539/
Java. Руководство для начинающих;3648;5212;30;Шилдт Герберт;Диалектика;На складе;https://www.labirint.ru/books/671238/
Алгоритмы. Построение и анализ;8640;12343;0;Кормен, Лейзерсон, Ривест;Диалектика;На складе (ограниченное количество);https://www.labirint.ru/books/671295/
Изучай Erlang во имя добра!;2379;3398;30;Хеберт Фред;ДМК-Пресс;На складе;https://www.labirint.ru/books/671125/
Программируй на Haskell;2719;3884;30;Курт Уилл;ДМК-Пресс;На складе;https://www.labirint.ru/books/671126/
Алгоритмы на C++;5760;8229;0;Седжвик Роберт;Вильямс;На складе (ограниченное количество);https://www.labirint.ru/books/518953/
Основы программирования на языке Python;1019;1455;30;Златопольский Дмитрий Михайлович;ДМК-Пресс;На складе;https://www.labirint.ru/books/668926/
Методы научных исследований в программной инженерии;910;1300;30;Пантелеев Евгений Рафаилович;Лань;На складе;https://www.labirint.ru/books/669705/
HTML5. Карманный справочник;1152;1646;30;Роббинс Дженнифер;Вильямс;На складе;https://www.labirint.ru/books/512962/
Искусство программирования. Том 4А. Комбинаторные алгоритмы. Часть 1;5760;8229;0;Кнут Дональд Эрвин;Вильямс;На складе;https://www.labirint.ru/books/512973/
Решение задач на современном C++;1868;2668;30;Бансила Мариус;ДМК-Пресс;На складе (ограниченное количество);https://www.labirint.ru/books/668227/
Философия Java;2766;3952;30;Эккель Брюс;Питер;На складе (ограниченное количество);https://www.labirint.ru/books/464095/
Разработка программных приложений в среде BlackBox. Учебное пособие;1180;1685;30;Болотнов Анатолий Миронович;Лань;На складе (ограниченное количество);https://www.labirint.ru/books/662831/
Технологии интеллектуального анализа данных. Учебное пособие;1553;2218;30;Макшанов, Журавлев;Лань;На складе;https://www.labirint.ru/books/662832/
Практическое введение в язык программирования Си. Учебное пособие;1149;1641;30;Солдатенко, Попов;Лань;На складе (ограниченное количество);https://www.labirint.ru/books/662833/
Осваиваем C++17 STL. Используйте компоненты стандартной библиотеки в C++17 STL в полной мере;2038;2912;30;О`Двайр Артур;ДМК-Пресс;На складе;https://www.labirint.ru/books/663534/
Искусство программирования. Том 1. Основные алгоритмы;5088;7269;0;Кнут Дональд Эрвин;Вильямс;На складе;https://www.labirint.ru/books/512935/
Шаблоны интеграции корпоративных приложений. Проектирование, создание и развертывание решений;5088;7269;0;Хоп, Вульф;Диалектика;На складе (ограниченное количество);https://www.labirint.ru/books/512948/
Язык программирования C. Лекции и упражнения;5088;7269;0;Прата Стивен;Диалектика;На складе (ограниченное количество);https://www.labirint.ru/books/512951/
C# 4.0. Полное руководство;3840;5486;30;Шилдт Герберт;Диалектика;На складе;https://www.labirint.ru/books/512960/
Реализация методов предметно-ориентированного проектирования;4320;6172;30;Вернон Вон;Диалектика;На складе (ограниченное количество);https://www.labirint.ru/books/518957/
Java. Полное руководство;5280;7543;0;Шилдт Герберт;Вильямс;На складе;https://www.labirint.ru/books/660316/
Шаблоны C++. Справочник разработчика;3648;5212;30;Вандевурд, Джосаттис, Грегор;Диалектика;На складе (ограниченное количество);https://www.labirint.ru/books/660323/
Байесовские модели. Байесовская статистика на языке Python;1359;1941;30;Дауни Аллен Б.;ДМК-Пресс;На складе;https://www.labirint.ru/books/659624/
Разработка чат-ботов и разговорных интерфейсов;1700;2428;30;Джанарсанам Срини;ДМК-Пресс;На складе (ограниченное количество);https://www.labirint.ru/books/659625/
Ядро ORACLE. Внутреннее устройство для администраторо и разработчиков баз данных;1614;2306;30;Льюис Джонатан;ДМК-Пресс;На складе;https://www.labirint.ru/books/658660/
Akka в действии;2379;3398;30;Рестенбург, Баккер, Уильямс;ДМК-Пресс;На складе (ограниченное количество);https://www.labirint.ru/books/656420/
Искусство создания сценариев в Unity;1700;2428;30;Торн Алан;ДМК-Пресс;На складе;https://www.labirint.ru/books/516658/
WebGL. Программирование трехмерной графики;2038;2912;30;Мацуда, Ли;ДМК-Пресс;На складе;https://www.labirint.ru/books/465875/
Введение в распределенное моделирование в среде NetLogo;1530;2185;30;Ершов Николай Михайлович;ДМК-Пресс;На складе (ограниченное количество);https://www.labirint.ru/books/653362/
Искусственный интеллект .NET. Речь, язык и поиск;1359;1941;30;Патак, Бхандари;ДМК-Пресс;На складе (ограниченное количество);https://www.labirint.ru/books/653363/
Элегантный SciPy;2209;3155;30;Нуньес-Иглесиас, Ван, Дэншоу;ДМК-Пресс;На складе;https://www.labirint.ru/books/653364/
Стандартная библиотека Python 3. Справочник с примерами;5280;7543;0;Хеллман Даг;Диалектика;На складе;https://www.labirint.ru/books/651905/
Язык декларативного программирования XAML;1614;2306;30;Подбельский Вадим Валерьевич;ДМК-Пресс;На складе;https://www.labirint.ru/books/649872/
Математика на Python. Часть 1. Элементы линейной алгебры;361;515;30;Александрова, Балджы, Хрипунова;Прометей;На складе;https://www.labirint.ru/books/647608/
Облачные технологии поддержки решения задач анализа безубыточности. Монография;421;601;30;Смирнов Денис Евгеньевич;Прометей;На складе;https://www.labirint.ru/books/647638/
Компьютерные вирусы и антивирусы. Взгляд программиста;1700;2428;30;Климентьев Константин Евгеньевич;ДМК-Пресс;На складе (ограниченное количество);https://www.labirint.ru/books/647735/
Прикладное программирование. Учебное пособие;1016;1452;30;Никифоров Сергей Николаевич;Лань;На складе (ограниченное количество);https://www.labirint.ru/books/646728/
C# 7.0. Справочник. Полное описание языка;3648;5212;30;Албахари, Албахари;Диалектика;На складе (ограниченное количество);https://www.labirint.ru/books/643928/
LabVIEW в научных исследованиях;1273;1819;30;Евдокимов, Линдваль, Щербаков;ДМК-Пресс;На складе;https://www.labirint.ru/books/301535/
Python. Разработка на основе тестирования;3230;4614;30;Персиваль Гарри;ДМК-Пресс;На складе (ограниченное количество);https://www.labirint.ru/books/641696/
Разработка одностраничных веб-приложений;1700;2428;30;Миковски, Пауэлл;ДМК-Пресс;На складе;https://www.labirint.ru/books/423642/
Программирование на Ардуино. От простого к сложному;1021;1458;30;Мамичев Дмитрий Иванович;Солон-пресс;На складе;https://www.labirint.ru/books/640436/
Современный Java. Рецепты программирования;1700;2428;30;Коузен Кен;ДМК-Пресс;На складе;https://www.labirint.ru/books/638778/
Собираем устройства для тестов на проникновение;1954;2791;30;Бирюков Андрей Александрович;ДМК-Пресс;На складе;https://www.labirint.ru/books/637762/
Объектно Ориентированное Программирование;1122;1603;30;Гаско Рик;Солон-пресс;На складе;https://www.labirint.ru/books/634878/
Информационная безопасность. Защита и нападение;2548;3640;30;Бирюков Андрей Александрович;ДМК-Пресс;На складе (ограниченное количество);https://www.labirint.ru/books/981050/
Графовые алгоритмы. Практическая реализация на платформах  Apache Spark и Neo4j;1868;2668;30;Нидхем, Ходлер;ДМК-Пресс;На складе;https://www.labirint.ru/books/735551/
Kubernetes изнутри;2548;3640;30;Вьяс, Лав;ДМК-Пресс;На складе;https://www.labirint.ru/books/911148/
Основы программирования на языке PascalABC.NET. Основные управляющие структуры. Практикум;899;1284;30;Ковалёва Зося Александровна;Лань;На складе (ограниченное количество);https://www.labirint.ru/books/1003320/
Изучаем SHINY;2719;3884;30;Уикем Хэдли;ДМК-Пресс;На складе (ограниченное количество);https://www.labirint.ru/books/828725/
Kubernetes в действии;2719;3884;30;Лукша Марко;ДМК-Пресс;На складе;https://www.labirint.ru/books/673939/
Простая Математика для Простых Программистов;936;1337;30;Гаско Рик;Солон-пресс;На складе (ограниченное количество);https://www.labirint.ru/books/634879/
Простой учебник программирования;1021;1458;30;Гаско Рик;Солон-пресс;На складе;https://www.labirint.ru/books/634881/
Глубокое обучение с точки зрения практика;2719;3884;30;Паттерсон, Гибсон;ДМК-Пресс;На складе;https://www.labirint.ru/books/632754/
Релевантный поиск с использованием Elasticsearch и Solr;2209;3155;30;Тарнбулл, Берримен;ДМК-Пресс;На складе (ограниченное количество);https://www.labirint.ru/books/632755/
Теория и практика делового общения для разработчиков программного обеспечения и IT-менеджеров;181;258;30;Абельская Раиса Шолемовна;Флинта;На складе;https://www.labirint.ru/books/626667/
Анализ социальных медиа на Python;1868;2668;30;Бонцанини Марко;ДМК-Пресс;На складе;https://www.labirint.ru/books/620685/
Глубокое обучение (цветная);3398;4854;30;Бенджио, Гудфеллоу, Курвилль;ДМК-Пресс;На складе;https://www.labirint.ru/books/620686/
Прямые и обратные задачи восстановления изображений, спектроскопии и томографии с MatLab (+CD);2843;4061;30;Сизиков Валерий Сергеевич;Лань;На складе;https://www.labirint.ru/books/621029/
Функциональное программирование на JavaScript. Как улучшить код JavaScript-программ;2881;4115;30;Атенсио Луис;Вильямс;На складе (ограниченное количество);https://www.labirint.ru/books/620557/
Искусство алгоритмизации;935;1335;30;Потопахин Виталий Валерьевич;ДМК-Пресс;На складе;https://www.labirint.ru/books/616368/
Java 9. Полный обзор нововведений;1700;2428;30;Кишори Шаран;ДМК-Пресс;На складе;https://www.labirint.ru/books/615911/
Конкурентное программирование на Scala;1443;2062;30;Прокопец Александр;ДМК-Пресс;На складе;https://www.labirint.ru/books/612985/
Крупномасштабное машинное обучение вместе с Python;1868;2668;30;Шарден, Массарон, Боскетти;ДМК-Пресс;На складе;https://www.labirint.ru/books/612986/
Программирование на Clojure;2889;4127;30;Эмерик, Карпер, Гранд;ДМК-Пресс;На складе;https://www.labirint.ru/books/612989/
C# 7.0. Карманный справочник. Скорая помощь для программистов на C# 7.0;1152;1646;30;Албахари, Албахари;Вильямс;На складе;https://www.labirint.ru/books/612651/
Адаптивный код. Гибкое кодирование с помощью паттернов проектирования и принципов SOLID;2881;4115;30;Холл Гэри Маклин;Диалектика;На складе (ограниченное количество);https://www.labirint.ru/books/612652/
Курс программирования на языке Си. Учебник;1700;2428;30;Подбельский, Фомин;ДМК-Пресс;На складе;https://www.labirint.ru/books/336886/
СУБД для программиста. Базы данных изнутри;1954;2792;30;Тарасов Сергей Витальевич;Солон-пресс;На складе (ограниченное количество);https://www.labirint.ru/books/469408/
Объектно-ориентированное программирование в С++;2014;2877;30;Лафоре Роберт;Питер;На складе (ограниченное количество);https://www.labirint.ru/books/249955/
Машинное обучение с использованием библиотеки Н2О;1359;1941;30;Кук Даррен;ДМК-Пресс;На складе;https://www.labirint.ru/books/609943/
Библиотека Keras - инструмент глубокого обучения;1530;2185;30;Джулли, Пал;ДМК-Пресс;На складе (ограниченное количество);https://www.labirint.ru/books/605169/
Визуализация данных с помощью библиотеки D3.js 4.x;1189;1698;30;Рининсланд, Свизек;ДМК-Пресс;На складе (ограниченное количество);https://www.labirint.ru/books/604319/
