Название;Количество звёзд отеля;Описание отеля;Андрес отеля;Ссылка
Grande Bretagne; 5*;Grande Bretagne 5* - один из наиболее роскошных отелей Афин, расположенный в 25 км от международного аэропорта Элефтериос Венизелос. Окна 320 номеров выходят на очаровательный дворик отеля или на знаменитые исторические памятники и живописные ландшафты города, а изысканные интерьеры гостиницы отдают дань греческой культуре с ее замысловатыми лепными карнизами и классическим декором. С крыши отеля, сидя в ресторане ДжиБи Руф Гарден, гости могут любоваться прекрасным видом на Акрополь. Кроме него, в число близлежащих достопримечательностей входят: Парфенон, площадь Конституции и Парламент.;Constitution Square, Athens 105 64, Greece;https://tury.ru/hotel/id/25509-greece-athens-grande-bretagne-5
Hamilton Princess & Beach Club A Fairmont Managed Hotel; 5*;Отель The Fairmont Hamilton Princess (Феирмонт Гамильтон Принцес) расположен в сердце Бермудских островов, в городе Гамильтон. Отель получил свое название в честь принцессы Луизы, дочери королевы Виктории, чьи частые визиты на Бермудские острова способствовали активному развитию туризма. Отель был открыт в 1885 году и буквально окутан историей. Здесь часто бывал Марк Твен. А знаменитый Флеминг черпал свое вдохновение, расположившись в одном из баров отеля. The Fairmont Hamilton Princess - это символ того, что жители Бермуд ценят больше всего: аристократическую учтивость, неподвластное времени качество и истинное гостеприимство.;76 Pitts Bay Road, Hamilton City, HM08 Гамильтон, Бермудские острова;https://tury.ru/hotel/id/72031-bermuda-hamilton-city-bermuda-the-fairmont-hamilton-princess-5
Hilton Yaounde; 5*;Отель Yaounde Hilton 5* (Яунде Хилтон 5*) находится в 30 минутах езды от международного аэропорта Яунде, и предлагает своим гостям весь спектр фирменных услуг и сервисов сети Hilton. Персонал в отеле говорит на английском и французском языках.;Boulevard du 20 Mai, Yaounde, Cameroon 11852;https://tury.ru/hotel/id/70319-cameroon-yaounde-yaounde-hilton-5
Kamandalu Resort and SPA / Kamandalu Ubud Resort; 5*;Отель Kamandalu Resort and SPA 5* (Камандалу Ресорт энд Спа 5*) расположен среди живописных зеленых холмов Убуда. Этот пятизвездочный бутик-отель построен в стиле настоящей традиционной балийской деревни с элементами современного стиля. Эксклюзивный отдых во всех виллах гармонично дополняют окружающие территорию зеленые террасы рисовых полей и тропическеи леса.;Jalan Tegallalang Banjar Nagi, Ubud, Bali 80571, Indonesia;https://tury.ru/hotel/id/81058-indonesia-bali-kamandalu-resort-and-spa-5
Karma Kandara Villa; 5*;"Отель Karma Kandara 5* (Карма Кандара 5*) расположен на вершине прибрежных холмов в западной части полуострова Букит, южной части острова Бали, в 20-ти минутах езды на автомобиле от аэропорта города Кута - самой популярной туристической зоне острова. В переводе с санскрита слово ""Kandara"" означает ""пещерный храм"". Название говорит само за себя, поскольку из окон всех 46 эксклюзивных роскошных вилл открывается панорамный вид на кристалльно чистые лазурные воды Индийского океана и пляж с песком медового цвета. Красота окружающей природы ни с чем не сравнима - вдали поднимается священная гора Агунг, а рядом расположен один из самых известный балийских храмов - Улувату. Волшебными морскими пейзажами можно также любоваться и из окон ресторана отеля, устроившегося на самой вершине холма.";Jalan Villa Kandara, Banjar Wijaya Kusuma, Ungasan, Uluwatu, Bali, Indonesia 80362;https://tury.ru/hotel/id/66832-indonesia-bali-karma-kandara-villa-5
Kayumanis Jimbaran Private Estate & Spa; 5*;Отель Kayumanis Jimbaran Private Estate And Spa 5* (Каюманис Джимбаран Приват Эстэт Энд Спа 5*) - это экзотическое уединенное место, практически спрятанное среди гипнотически покачивающихся крон кокосовых деревьев в романтических объятьях близлежащего залива Jimbaran.;Jl. Yoga Perkanti Lingkungan Pesalakan, Jimbaran, Bali, Indonesia 80361;https://tury.ru/hotel/id/66829-indonesia-jimbaran-kayumanis-jimbaran-private-estate-spa-5
Kupu Kupu Barong Beach Resort (ex.The Sandi Phala); 5*;"Kupu Kupu Barong Beach Resort 5* (Купу Купу Барон Бич Ресорт) - это роскошный отель-бутик, состоящий из 10 элегантных сюитов. Kuku Kupu Barong в переводе с индонезийского означает ""гигантская бабочка"". Отель расположен посреди боагоухающего тропического сада, на берегу собственного песчаного пляжа. Несмотря на тишину и умиротворенность этого места, отсюда легко и быстро можно за 15 минут ходьбы добраться до большого торгового центра Discovery в г. Кута и множества других магазинов в центре города, а также до парка водных развлечений Waterbom. От аэропорта ехать всего 10 минут.";Jl. Wana Segara, Tuban, Bali, Indonesia;https://tury.ru/hotel/id/65059-indonesia-kuta-bali-kupu-kupu-barong-beach-resort-ex-the-sandi-phala-5
La Residencia; 5*;Отель La Residencia 5* (Ла Резиденция) находится на северо-западном побережье острова Майорка в романтическом селении Дейя вблизи моря и гор Трамунтан. Отель представляет собой уникальную летнюю резиденцию, расположившуюся среди сотен каменных террас увитых виноградниками и оливковыми рощами, нависших над морем.;Son Canals 07179 Deia, Mallorca, Spain;https://tury.ru/hotel/id/62296-spain-deia-la-residencia-5
La Tour Hassan; 5*;Отель La Tour Hassan 5* (Ла Тур Хассан 5*) считается одним из лучших в Рабате. Расположен в центре города. Здание выполнено в мароканском стиле.;26, Rue Chellah., 10000 Rabat;https://tury.ru/hotel/id/64122-morocco-rabat-la-tour-hassan-5
Le Royal Mansour Meridien; 5*;Отель Le Royal Mansour Meridien 5* (Ле Рояль Мансур Меридьен 5*) расположен на avenue de l Armee Royale в деловом и торговом квартале города, недалеко от порта и Старого Города. Остановившись здесь, вы очутитесь в самом центре бурлящей финансовой столицы королевства Марокко, в нескольких шагах от узких улочек исторического центра, традиционных белоснежных домов и памятников культурного наследия страны, а также сможете в полной мере насладиться динамичным ритмом жизни современного города, посетить многочисленные бутики и магазины, рестораны и кафе, ночные клубы и бары. С какой бы целью вы не прибыли в Касабланку, в Le Royal Mansour Meridien вы найдете все необходимое для приятного отдыха и разнообразного времяпрепровождения. Подобно городу, в котором старинная медина сосуществует с грандиозными небоскребами, бизнес центрами и мерцающими тысячами огней ночными заведениями, отель также сочетает современные технические новинки и другие атрибуты комфорта международного класса с исконно марокканскими традициями, безупречным сервисом и беспримерным радушием.;27, Avenue de l Armee Royale · Casablanca 21000 · Morocco;https://tury.ru/hotel/id/69768-morocco-casablanca-le-royal-mansour-meridien-5
Lindos Blu; 5*;Отель Lindos Blu 5* (Линдос Блу 5*) расположен на возвышенности с прекрасным видом на море.Это новый отель ,открытие- в июле 2008 года.;Vlicha, 85107Lindos, Rhodes - GREECE;https://tury.ru/hotel/id/63027-greece-lindos-lindos-blu-5
Magnolia Hotel and Spa; 5*;Magnolia Hotel and Spa (Магнолиа Хотел энд СПА) имеет чрезвычайно удобное расположение, всего в нескольких шагах от популярного района Inner Harbour. Отель предлагает элегантные номера, мебель и неповторимую европейскую атмосферу. Он известен удивительным персональным сервисом, который позволяет вам почувствовать себя, как дома.;623 Courtney Street, Victoria, B.C. Canada, V8W 1B8;https://tury.ru/hotel/id/96484-canada-british-columbia-magnolia-hotel-and-spa-5
Malmok Villa Bon Bida; 5*;"Malmok Villa Bon Bida 5* (Малмок Вилла Бон Бида 5*) предлагает конфиденциальность и роскошь в эксклюзивном жилом районе пляжа Malmok.Высококлассный пляжный бунгало со всеми условиями для комфортного отдыха, открыл свои двери в октябре 2008 года.";L. G. Smith Boulevard. #494 Malmok, ARUBA - Dutch Caribbean;https://tury.ru/hotel/id/70605-aruba-malmok-beach-malmok-villa-bon-bida-5
Mansour Eddahbi; 5*;Отель Mansour Eddahbi 5* (Мансур Эдаби 5*) расположен недалеко от центральной части города и укреплений медины.;Boulevard Mohamed VI - 40 000 Marrakech - Morocco;https://tury.ru/hotel/id/50484-morocco-marrakech-mansour-eddahbi-5
Marcliffe Hotel and Spa; 5*;"Marcliffe Hotel and Spa (Марклиф Хотел энд Спа) - роскошный отель, который находится в лесистой местности, в западном пригороде Абердина.Ощущение комфорта, расслабления и уюта - главная цель руководства и персонала отеля.В гостиной и баре находится много оригинальных картин, которые написаны шотландскими художниками, а также много интересных артефактов, которые семья Спенс собирала на протяжении многих лет. А в центре этой замечательной гостиной стоит рояль, который повидал много уважаемых и знаменитых гостей с момента открытия в 1993 году. В этом же году, отель посетил знаменитый российский политический деятель Михаил Горбачев, после чего, отель приобрел мировую известность.В номерах антикварная мебель, которая идеально сочетается с традиционным и современным стилями. Здесь создана атмосфера комфорта, элегантность и изысканный вкус.";North Deeside Road, Pitfodels, Aberdeen, AB15 9YA, Scotland;https://tury.ru/hotel/id/96613-great-britain-aberdeen-marcliffe-hotel-and-spa-5
Nairobi Safari Club; 5*;Отель Nairobi Safari Club 5* (Найроби Сафари Клаб 5*) построен в 1984 году, является единственным отелем в столице Кении, где все номера относятся к классу люкс. Белоснежное 16-этажное здание расположено недалеко от деловых районов, торговых центров и различных достопримечательностей Найроби. Гостям не потребуется много времени, чтобы добраться до Центрального городского парка Найроби, музеев и галерей, театров, а также многочисленных ресторанов, клубов и казино. До 2001 года в отеле действовала закрытая клубная система, но сейчас он открыт для всех. Отель оформлен в классическом стиле, а оригинальные предметы интерьера придают неповторимый африканский колорит. Отель расположен в Найроби, в 45 минутах езды от международного аэропорта Jomo Kenyatta и в 20 минутах от аэропорта Wilson.;Lilian Towers, Koinange Street, 00100 Найроби, Кения;https://tury.ru/hotel/id/69506-kenya-nairobi-nairobi-safari-club-5
Occidental Grand Aruba - All Inclusive Resort; 5*;Occidental Grand Aruba Hotel 5* (Оксидетал Гранд Аруба Отель 5*) построили на нетронутых белых песках знаменитого пляжа Палм-Бич.;J.E. Irausquin Boulevard 83, Palm Beach, Aruba;https://tury.ru/hotel/id/42955-aruba-aruba-excursion-occidental-grand-aruba-5
Palacio de Beatriz; 5*;"Palacio de Beatriz Hotel 5*(Паласио де Беатриз Отель 5*), сложный, высокий стиль, роскошный отель, расположен в лучшем жилом районе города Антигуа, в четырех кварталах от галереи, рядом со всеми интересными местами, но достаточно далеко от шумного центра.Этот отель с уникальными людьми, которые предлагают персонализированный сервис, роскошные жилые помещения для отдыха или деловых поездок. С богатым интерьером и мебелью, направленный на обычай предоставлять гостям комфортное чувство во время пребывания в отеле.";Calle de Los Duelos, Lote #1, Las Gravileas, Barrio Sto. Domingo, Antigua Guatemala;https://tury.ru/hotel/id/71522-guatemala-antigua-palacio-de-beatriz-5
Paresa Resort Phuket; 5*;"Отель Paresa (Пареса) располагается в 45 минутах от международного аэропорта Пхукета высоко над пляжем Камала. Дизайн ориентируется на тайские традиционные дома, а из отеля открывается завораживающий вид. Расположенный на склоне холма, на возвышенности, отель представляет Вашему вниманию 49 сюитов и вилл класса ""люкс"", из всех номеров открывается прекрасный панорамный вид на море. Материалы для строительства отеля тщательно отбирались, чтобы этот новый гармонично вписался в местный пейзаж.";49 Moo 6, Layi-Nakalay Road Kamala , Phuket 83150 Thailand;https://tury.ru/hotel/id/96081-thailand-phuket-paresa-5
Park Hyatt Johannesburg; 5*;"Отель Park Hyatt Johannesburg 5* (Парк Хаятт Йоханесбург 5*) находится в районе Rosebank, в 6 км от центра города, в 25 км от международного аэропорта Йоханнесбурга, в 6 км от центра пригорода Сендтон, в 55 км от Претории. Организация свадебных торжеств и программ для молодоженов (по запросу) в танцзале (до 600 гостей) или на террасе сада (до 60 гостей)";191 Oxford Road, Rosebank, Johannesburg, South Africa 2132;https://tury.ru/hotel/id/70310-rsa-johannesburg-park-hyatt-johannesburg-5
Posada de Los Leones; 5*;В Posada de Los Leones Hotel 5*(Посада де Лос Леонес Отель 5*), вы будете восхищаться его замечательным видом и расположением среди тенистых деревьев и плантации кофе у въезда в Антигуа, как воспоминанием о времени, когда жизнь была тихой и милой. Слабый запах кофейных цветов пронизывает чистый горный воздух, разноцветные цветы, которые произрастают в обилии в этой климатической зоне вечной весны. Несмотря на это, пасторальные настройки находится в непосредственной близости от центра города с его знаменитой площадью, международными ресторанами, высококлассными бутиками, ремесленными магазинами.;Las Gravileas, Nr.1, Antigua Guatemala, Guatemala, Central America;https://tury.ru/hotel/id/71463-guatemala-antigua-posada-de-los-leones-5
Prince Of Wales; 5*;"Prince Of Wales (Принц оф Уэйльс) - изысканный оазис викторианской эпохи с  удобствами 21 века. Один из лучших отелей в Онтарио и один из лучших отелей мирового наследия, Prince Of Wales обаятелен, элегантен, романтичен и уникален. Здесь заново оживает великолепие Старого Света: в гостиной представлено собрание английского фарфора, в Secret Garden Spa стоит оригинальный старинный камин, а ресторан порадует вас великолепным винным погребом. Построенный в 1864 году, Prince Of Wales является историческим сердцем города. За свою историю он сменил множество названий, а сегодняшнее получил в честь визита королевской четы в 1901 году.";6 Picton St, Niagara-on-The-Lake, ON L0S Canada;https://tury.ru/hotel/id/96216-canada-ontario-prince-of-wales-5
Rabat; 5*;Отель Rabat 5* (Рабат 5*) - современный пятизвездочный отель класса люкс, один из лучших в городе. В отеле есть огромный атриум с живыми пальмами, где Вы сможете отдохнуть, расслабиться, встретиться с друзьями и коллегами. Здание отеля выполнено, в основном, из стекла, что создает впечатление необъятного простора. Отель удачно расположен в деловом районе города, а также недалеко от Медины.;21, Avenue Chellah - 10000 RABAT - Morocco;https://tury.ru/hotel/id/64121-morocco-rabat-rabat-5
Sheraton Club des Pins Resort and Towers; 5*;Отель Sheraton Club des Pins Resort and Towers (Шератон Клаб де Пин Резорт энд Тауэрс) является единственным отелем в столице Алжира, расположенным на побережье. Это один из самых лучших отелей страны. Расположен в западной части города. Отель находится недалеко от основных достопримечательностей столицы.;Boite Postal 62, Club Des Pins · Staoueli · Algiers 16101 · Algeria;https://tury.ru/hotel/id/71224-algeria-alger-city-sheraton-club-des-pins-resort-and-towers-5
Sofitel Brisbane; 5*;Отель Sofitel Brisbane 5* (Софитель Брисбан 5*) - современное многоэтажное здание, расположено в центре Брисбена, рядом с районом Eagle Street Pier, парками South Bank Parklands и Конгресс - центром. Внутреннее убранство отеля отличается респектабельностью и элегантностью дизайна, в комфортабельных номерах – стильные интерьеры, выдержанные в теплых тонах, с отделкой из дерева, ковровым покрытием на полах, мягким освещением, изящными украшениями.;249 Turbot Street 4000 Brisbane, Australia;https://tury.ru/hotel/id/63329-australia-brisbane-sofitel-brisbane-5
Sofitel Marrakech Lounge and Spa; 5*;Фешенебельный отель Sofitel Marrakech 5* (Софитель Марракеш 5*) расположен в самом сердце манящего города Тысячи и Одной Ночи, у подножия Атласских гор, в нескольких минутах ходьбы от медины и площади Jamaâ El Fna. Небольшое розоватое здание, построенное в традиционном мавританском стиле, разместилось на уютной площади с изумительным фонтаном, огромной клумбой и стройными рядами развесистых пальм. Пройдя сквозь уютное лобби, гости попадают в грандиозный внутренний дворик с огромным бассейном, также несущим характерные черты марокканской экзотики: внушительные свечки пальм, разместившихся на крошечных островках, легкие мостки, играющие фонтаны и зелень парка, укрывающая от полуденного зноя, создают особенное настроение этого места. Чудесные виды на сады, бассейн или далекие горы открываются из номеров гостиницы, добавляя очарования их внутреннему убранству, выполненному в золотисто-охристых тонах. Оформленные в современном стиле интерьеры отмечены легким влиянием марокканской стилистики: современная мебель, изысканные светильники, удобные письменные столы и полированные туалетные столики соседствуют с узорчатыми коврами, замысловатой мозаикой, дверьми с затейливой резьбой по дереву и оригинальными цветочными композициями, добавляющими номерам восточного колорита. Подобное же смешение ожидает и посетителей 3 ресторанов отеля, где предлагают блюда как международной, так и марокканской кухни, и 3 баров, каждый из которых оформлен в неповторимом стиле. Помимо этого к услугам гостей также: открытый бассейн с подогревом, крытый бассейн с подогревом, тренажерный зал, джакузи и паровая баня.;Rue Harroun Errachid Quartier de l hivernage 40000 MARRAKECH, MOROCCO;https://tury.ru/hotel/id/69728-morocco-marrakech-sofitel-marrakech-lounge-and-spa-5
Sofitel Palais Jamai; 5*;Отель Sofitel Palais Jamai 5* (Софитель Палаис Джамай 5*) находится в исторической части города и представляет собой восхитительное здание, настоящее произведение мароканского искусства. Здание отеля было построено еще в 1879 году, и не раз с тех пор меняло хозяев и свое предназначение. Сегодня здесь находится люксовый пятизвездочный гостиничный комплекс, готовый удовлетворить желания даже самых взыскательных гостей.;Bab Guissa, 30000 FES, MOROCCO;https://tury.ru/hotel/id/65813-morocco-fez-sofitel-palais-jamai-5
Stone Bridge; 5*;"Передать и пережить незабываемые моменты в соединении культур Востока, Средиземноморья, Балкан и Европы поможет вам уникальный опыт отеля Stone Bridge (Стоун Бридж), расположенного в самом центре города, где прошлое встречается с настоящим, а традиции с повседневной жизнью. Утонченная архитектура, аристократическая грация и роскошь - этот отель по достоинству считается гордостью Скопье.От входа в отель до фойе, от баров и ресторан до номеров здесь все создает уникальное визуальное пространство, где чувствуется влияние Австро-Венгрии и Турции с их сиянием гламура и традиционными элементами культуры в сочетании с современным дизайном. Гармония формы и цвета создает непередаваемое ощущение. Интерьер отеля с элегантными композициями из мрамора, стекла, кристаллов и дерева создает чудесную, теплую и удивительную атмосферу. Если вы ищите место, где соединяются история и гостеприимство, то непременно должны остановиться в одном из номеров этого отеля.";Kej Dimitar Vlahov no.1, 1000 Skopje, R. Macedonia;https://tury.ru/hotel/id/69253-macedonia-skopje-stone-bridge-5
Swissotel Krasnye Holmy hotel / Свиссотель Красные Холмы отель; 5*;Возвышаясь над городом, пятизвездочная гостиница «Swissotel Красные Холмы» является достопримечательностью Москвы. Она расположена в непосредственной близости от Кремля и крупных бизнес-центров. «Swissotel Красные Холмы» располагает 234 элегантными гостевыми номерами, включая 28 номеров категории «люкс». Элегантный современный декор, завораживающие виды, ощущение простора и естественное освещение делают каждый номер оазисом комфорта и спокойствия, создавая все условия для работы и отдыха. Номера категории «Swiss Business Advantage» оснащены по последнему слову техники. Гармоничное сочетание современного дизайна с комфортным, продуманным до мелочей интерьером делает их идеальным выбором, как для туристов, так и для бизнесменов. Расположенные на верхних этажах отеля, номера категории «Swiss Business Executive Club» с захватывающими панорамными видами на город предлагают уникальный набор дополнительных услуг и возможность посещения Эксклюзивного швейцарского клуба.;Moscow, Kosmodamianskaya nab. 52, bld. 6;https://tury.ru/hotel/id/68904-russia-moscow-swissotel-krasnye-holmy-hotel-5
Taj Pamodzi; 5*;Отличный отель Taj Pamodzi 5* (Тадж Памодзи 5*) расположен в деловом районе Лусаки, всего  в 22 км от международного аэропорта, и в 5 км от историческогоцентра города. Отель ориентирован на бизнес контингент и предоставлляет своим гостям различные для этого возможности.;Church Road, P.O. Box 35450, Lusaka -10101, Zambia.;https://tury.ru/hotel/id/70400-zambia-lusaka-taj-pamodzi-5
The Address Downtown Burj Dubai; 5*;Отель The Address Downtown Burj Dubai (Адресс Даунтаун Бурж Дубаи) предлагает гостям идеальное месторасположение в центре города. Отель расположен в месте с видом на Бурдж Дубай и рядом с торговым центром Дубая. Отель The Address, Downtown Burj Dubai находится в нескольких минутах ходьбы от торгового центра Дубая и Старого города. Дубайский международный аэропорт расположен в 10 минутах езды на автомобиле от отеля.;P. O. Box 123234, Dubai, UAE;https://tury.ru/hotel/id/67470-uae-bur-dubai-the-address-downtown-burj-dubai-5
The Bodrum by Paramount Hotels & Resorts ; 5*;"Отель Jumeirah Bodrum Palace, ранее The Golden Savoy, расположен в Бодруме, в живописной бухте Зейтинликахве на побережье Эгейского моря, приблизительно в 10 минутах езды от центра города и в 20 минутах езды от Международного аэропорта Бодрума. В отеле Jumeirah Bodrum Palace гармонично сочетаются роскошь, комфорт и уединение. Отель предлагает гостям только виллы и номера категории люкс, из которых открывается завораживающий вид на Эгейское море. Изысканные рестораны и бары курорта предлагают великолепные блюда, приготовленные лучшими шеф-поварами, удостоенными многочисленных наград. В спа-центре гостей ждут великолепные процедуры, умиротворяющий отдых и атмосфера полной гармонии.Профессиональные физиотерапевты со всего мира владеют лучшими техниками и традиционными методиками, проверенными временем. Выберите то, что нужно именно вам из широкого спектра классических, восточных и турецких процедур, которые позволят восстановить гармонию тела и разума, снять стресс и пробудить чувства.";Torba Mah. Zeytinli Kahve Mevkii Bodrum / Turkey;https://tury.ru/hotel/id/758700-turkey-torba-jumeirah-bodrum-palace-5
The Broadmoor; 5*;"The Broadmoor (Броудмур) входит в число лучших отелей мира и до сих пор занимает ведущие позиции в сфере гостиничного бизнеса. Владельцы отеля с самого момента основния стремились создать здесь настоящий архитектурный шедевр, над интерьерами работали лучшие архитекторы и дизайнеры. Особое внимание уделялось созданию непринужденной, домашней атмосферы и организации безупречного обслуживания клиентов. Из Италии был приглашен лучший повар, а один из лучших архитекторов Америки создал роскошное поле для гольфа.  Высокий стандарт обслуживания, заданный со времени открытия отеля сохраняется здесь до сих пор. Вот почему каждый, кто побывал здесь хоть раз, стремится вернуться в это живописное место, в роскошные покои этого дивного дворца.";1 Lake Ave, Colorado Springs, CO 80906;https://tury.ru/hotel/id/90399-usa-colorado-the-broadmoor-5
The Carnegie Club Skibo Castle; 5*;"The Carnegie Club Skibo Castle (Зе Карниджи Клаб Скибо Кэсл) 5* - всемирно известный частный отель, расположенный в горах Шотландии. Отель находится на 7000 акрах частного владения. Замок окружен роскошным парком. Заповедные леса, зеленые холмы и кристальные озера вокруг создают неповторимые пейзажи.Этот эксклюзивный клуб является одним из самых роскошных и уникальных мест в мире. Отель предлагает королевский уровень обслуживания привилегированного общества, роскошные и эксклюзивные номера, а также богатую инфраструктуру.Главной гордостью отеля являются безупречные поля для гольфа, которые откроют каждому гостю безграничные возможности для этого поистине аристократичного спорта.Гостями замка стали многие именитые люди: король Эдуард VII, Рокфеллеры, Редьярд Киплинг, Эдвард Элгар, Ллойд Джордж. Замок настолько впечатлил певицу Мадонну, что она избрала его для проведения своей свадьбы с режиссером Гаем Ричи.";Portree Isle of Skye IV51 9QU United Kingdom;https://tury.ru/hotel/id/106812-great-britain-highland-the-carnegie-club-skibo-castle-5
The Chatwal Hotel; 5*;"The Chatwal Hotel (Чатуолни Хотел) находится в историческом здании, построенном в Нью-Йорке в 1905 году архитектором Стэнфордом Уайтом. В былые времена здесь располагался первый профессиональный театральный клуб Америки. А отель Chatwal открыл свои двери для гостей в 2010 году.За дизайн отеля отвечал Тьерри Деспонт. Его идея заключалась в том, чтобы соединить современную роскошь со стилем ар-деко. Подлинные элементы здания - фасад и камины от пола до потолка были восстановлены и включены в интерьеры отеля.";130 West 44th Street, New York, NY 10036;https://tury.ru/hotel/id/100959-usa-new-york-city-the-chatwal-hotel-5
The Lanesborough a St. Regis Hotel; 5*;"The Lanesborough a St. Regis Hotel 5* идеально расположен в элегантном районе Лондона, Найтбридж; в 19 км от аэропорта Хитроу. Всего в нескольких минутах ходьбы от него: эксклюзивные магазины улицы Sloane, а так же магазин Harrods. Номера отеля выделяются аутентичными деталями стиля Регенства и великолепным выбором цвета, дополняющего старинную мебель.Каждого постояльца отеля обслуживает персональный камердинер. В баре-библиотеке знаменитый бармен Сальваторе Калабрезе знакомит гостей с тонкостями дегустации коллекционного коньяка и превосходным собранием редких сигар. Под стеклянным куполом ресторана-оранжереи творит Поль Гейлер – самый знаменитый повар Англии. Здесь царит атмосфера аристократического английского клуба. И, конечно же, звучит живая музыка: днем – изысканная фортепьянная, вечером – танцевальная и джазовая.";Hyde Park Corner, London, England SW1X 7TA, United Kingdom;https://tury.ru/hotel/id/61046-great-britain-city-of-westminster-the-lanesborough-a-st-regis-hotel-5
The Palace of the Lost City; 5*;Отель The Palace of the Lost City 5* (Зэ Пэлэс оф зе Лост Сити 5*) - самый лучший отель в городе. Сан Сити (Sun City) - это огромный искусственный курорт, являющийся своеобразной реконструкцией Затерянного Города. На территории комплекса расположено огромное количество аттракций, начиная с римского амфитеатра и озера с огромным числом водных видов спорта и полностью оборудованным пляжем и бассейном, и заканчивая казино, прославившим курорт на весь мир. Как и предполагает название, отель своим видом напоминает дворец древней цивилизации и окружен водой.;Sun City, North West Province, South Africa;https://tury.ru/hotel/id/46848-rsa-sun-city-the-palace-of-the-lost-city-5
The Palms; 5*;Отель The Palms 5* (Зэ Палмс 5*) расположен на восточном побережье острова Занзибар. Комплекс состоит из шести отдельных вилл, выстроенных в африканском стиле, и расположенных между тропическим садом и белоснежным пляжем. Удобства пятизвездочного отеля сочетаются здесь с уединенной атмосферой. В отеле работает единственный на Занзибаре SPA-центр, есть собственный пляж и бассейн с баром на берегу, открыты ночной бар и ресторан.;P. O. Box 1298, Zanzibar, Tanzania;https://tury.ru/hotel/id/64940-tanzania-zanzibar-the-palms-5
The Peninsula Tokyo; 5*;The Peninsula Tokyo 5*  (Зе Пенинсула Токио 5*) роскошная гостиница, расположенная в деловом районе Токио - Marunouchi, напротив императорского дворца и Парка Hibiya. От гостиницы можно легко дойти до знаменитого квартала Гинза, где Вы увидите множество интересных мест для развлечений и шопинга. Гостиница гордится своим высоким уровнем обслуживания и  роскошной инфраструктурой.  В гостинице 314 комфортабельных номера, виды из которых будут приятным дополнением к Вашему пребыванию – прекрасная панорама на Императорский Сад и Парк Хибуя. Каждый номер выполнен с элементами японской культуры и дарят каждому гостю тепло и уют;1-8-1 Yurakucho, Chiyoda-ku, 100-0006 Tokyo, Japan;https://tury.ru/hotel/id/75302-japan-tokyo-the-peninsula-tokyo-5
The Pierre; 5*;"The Pierre (Пьер) открылся после очередного ремонта (стоимостью около 100 миллионов долларов) 1 июня 2009 года. Даже в городе, где шикарные отели являются нормой, есть одна гостиница, которая гораздо шикарнее, чем остальные. The Pierre обладает отличнейшим местоположением и легендарной историей и продолжает задавать стандарты элегантности и непревзойденного гостеприимства.В отеле есть зал для бракосочетания.";2 East 61st Street. New York. U.S.A. 10065;https://tury.ru/hotel/id/78172-usa-new-york-city-the-pierre-5
The Plaza; 5*;"The Plaza (Плаза) уже более века является стандартом роскошного отеля. В 2008 году был полностью отреставрирован. Мало какой отель сможет посоревноваться с Плаза по великолепию меблировки и декоративных элементов.В отеле находится SPA центр, салон красоты и знаменитый клуб Rose Club, в котором выступали и продолжают выступать легендарные джаз исполнители.";Fifth Avenue at Central Park South New York, New York, United States 10019;https://tury.ru/hotel/id/71689-usa-new-york-state-the-plaza-5
The Plettenberg Hotel; 5*;Отель The Plettenberg Hotel 5* (Зэ Плеттенберг Отель 5*) расположен в 2,5 часах езды от аэропорта Порт-Элизабета, в 20 км от национального парка Тсисикамма. Непосредственно с террасы отеля или собственного номера с июля по октябрь можно наблюдать за подплывающими к берегу дельфинами и китами.;Plettenberg Bay 6600, South Africa;https://tury.ru/hotel/id/46478-rsa-plettenberg-bay-the-plettenberg-hotel-5
The St. Regis Mexico City; 5*;"The St. Regis Mexico City (Сент Реджис Мехико Сити) расположен в самом сердце исторического центра столицы Мексики, в 31-этажной башне Торре-Либертад. Район Paseo de la Reforma, в котором он расположен, известен своей великолепной исторической архитектурой, шикарными бутиками и модными художественными галереями. Из всех его189 просторных номеров и люксов открывается панорамный вид на городские горизонты. Местный персонал не остановится ни перед чем, чтобы удовлетворить все ваши потребности. Утонченная роскошь отличает отели St. Regis от конкурентов. На территории отеля вас ждет шикарный выбор ресторанов и баров: Decanter Rooms, Juice Bar, King Cole Bar, Cantina del Sol, Prime Steak House и St Regis Restaurant.";Paseo de la Reforma 439, Colonia Cuauhtemoc, Mexico City, Federal District 06500;https://tury.ru/hotel/id/104335-mexico-mexico-the-st-regis-mexico-city-5
The St. Regis Princeville Resort; 5*;"The St. Regis Princeville Resort 5* находится на северном побережье острова Кауаи, между пляжами Хайдевей и Пуу Поа. Ближайший аэропорт расположен в 5 км от него. Отель предлагает множество возможностей для активного отдыха, экскурсионные программы, прямой доступ к пляжу, отличное СПА и многое другое. В 2012 году он вошел в рейтинг ""Топ 25 Люксовых отелей США"" по версии TripAdvisor.";5520 Ka Haku Road, Princeville, Kauai, Hawaii;https://tury.ru/hotel/id/667413-hawaii-islands-princeville-the-st-regis-princeville-resort-5
