Название;Количество звёзд отеля;Описание отеля;Андрес отеля;Ссылка
Blue Palace a Luxury Collection Resort & Spa; 5*;Отель Blue Palace a Luxury Collection Resort & Spa расположен напротив знаменитого острова Спиналонга, в 15 км. от г. Агиос Николаос и 90 км. от г. Ираклиона, в 4 км. от центра курорта Элунда, в 300 м от рыбацкой деревушки Плака. Это одно из самых романтичных мест Греции. Blue Palace Resort & Spa - прекрасный выбор для романтичного отдыха вдвоем, в спокойной обстановке, среди потрясающего окружающего пейзажа. Это единственный отель группы Starwood Luxury Collection на Крите. Отель состоит из комплекса двухэтажных зданий и вилл. В отеле есть панорамный лифт-фуникулер, соединяющий основное здание с пляжем.;Plaka, Элунда, 72053, Греция;https://tury.ru/hotel/id/55513-greece-elounda-blue-palace-a-luxury-collection-resort-spa-5
Splendid Conference and SPA Beach Resort; 5*;"Splendid Conference & SPA Beach Resort 5* (Сплэндил Конференс энд СПА Бич Рэзот) находится в Бечичи,  в 3 км от исторической части г. Будва. До аэропорта Тиват - 23 км, до аэропорта в Дубровнике - 73 км. Рядом с отелем есть остановка туристического автопоезда, который ходит до Будвы и остановка туристического паровозика, который ходит в Будву по набережной. Отель входит в цепочку Montenegro Stars Hotels Group, наряду с Montenegro и Blue Stars. Отель Splendid Conference & SPA Beach Resort предлагает сочетание прекрасной природы и комфорта. Элегантный, современный 5* отель возвышается непосредственно на берегу моря в первой линии, располагает своим пляжем (20 м). Великолепные сады и парки окружающие отель создают прекрасную атмосферу для отдыха. Все это в сочетании с неотразимой красотой дикой природы и чистейшего моря. В отеле развитая инфраструктура, рассчитанная на активный пляжный отдых и круглогодичное проведение бизнес мероприятий, собственная профессиональная анимационная команда. В отеле есть возможность организации праздников и банкетов, проведения венчания и медового месяца.В отеле любят останавливаться политики и звезды мировой величины.";Becici, 85316 Budva, Montenegro;https://tury.ru/hotel/id/55507-montenegro-becici-splendid-conference-and-spa-beach-resort-5
Ayana Resort and SPA; 5*;"Отель Ayana Resort & SPA 5*(Айана Ресорт энд СПА 5*, бывший The Ritz Carlton Bali Resort & Spa - Ритц Карлтон Бали Ресорт энд СПА) расположен на юго-западном побережье острова Бали, в районе бухты Jimbaran, в 10 км (15 минутах езды) от международного аэропорта Ngurah Rai в Денпасаре.На склонах живописных скал, спускающихся к прозрачным водам Индийского океана, расположился фешенебельный комплекс Ayana Resort and Spa Индонезия, занимающий 77 гектаров пышных тропических садов с изящными зданиями в индонезийском стиле, уютными павильонами, сверкающими бассейнами, водопадами и прудами с лотосом. В просторных комфортабельных номерах и виллах — элегантные интерьеры, сочетающие современный дизайн и традиции острова Бали.Ayana Resort and Spa располагает великолепным Центром Bali Thalasso & Spa с уникальным талассо-бассейном Aquatonic и ультрасовременными условиями для всевозможных косметологических, гидротерапевтических и СПА процедур. Также на территории отеля находятся: 4 бассейна с водопадами, 3 теннисных корта, гольф-поле на 18 лунок, центр водного спорта, фитнес-центр. Для маленьких гостей есть детский бассейн с горками, работает клуб The Kids, представляющий различные анимационные программы. 12 ресторанов и баров Ayana Resort and Spa способны удовлетворить самые взыскательные вкусы: от разнообразия интернациональных блюд, деликатесов японской, тайской и итальянской кухонь до экзотических индонезийских яств и свежайших морепродуктов, а также — богатая коллекция вин, мартини и тропических коктейлей. К услугам гостей — 3 конференц-зала, просторный бальный зал, бизнес-центр, бутики. Ayana Resort and Spa Индонезия представляет прекрасное сочетание самого современного комфорта, изысканной экзотики и изумительной природы острова Бали.";Jl. Karang Mas Sejahtera Jimbaran, Bali 80364, Indonesia;https://tury.ru/hotel/id/72489-indonesia-bali-ayana-resort-and-spa-5
Conrad Bali Resort and Spa; 5*;"Отель Conrad Bali Resort & Spa (Конрад Бали Ресорт энд Спа) 5* расположен на южном побережье острова Бали, в 10 км от аэропорта в непосредственной близости от курорта Нуса-Дуа. Волшебные пляжи из чистейшего кораллового песка, теплая вода Индийского океана, пышные пальмовые рощи - в такой идиллической обстановке расположен этот отель категории ""люкс"", заслуженно считающийся лучшей гостиницы корпорации Hilton Hotels на Бали. Отель славится гармоничным сочетанием современных услуг, изысканного комфорта и национального колорита. Отель занимает комплекс из трех красивых современных зданий. Центральный вход расположен на уровне третьего этажа, в лобби можно зайти, минуя водопад, а из центрального холла открывается великолепный вид на Индийский океан. Территория отеля с уединенными лагунами и 350-метровым пляжем отделена от внешнего мира пышным тропическим садом площадью 6,8 га. Восхитительный садовый ландшафт, где 9500 кв. м бассейнов, речек, прудов, каскадных водопадов, фонтанов в совокупности с цветущими растениями превращают территорию в сказку, добавляя очарования отелю. Отель занимает 6,8 гектаров земли покрытой тропическими садами, лагунами, водопадами. Гордость курорта- шикарный 300 метровый белоснежный пляж. Корпус отеля имеет Е-образную форму, что позволяет каждому номеру иметь вид на океан. Оформление интерьера было выполнено известными гавайскими дизайнерами. Сonrad Hotels это бренд отелей делюкс в семье Hilton Hotels cо штаб-квартирой в Брюсселе.";Jalan Pratama 168, Bali, 80363 , Indonesia;https://tury.ru/hotel/id/28709-indonesia-bali-conrad-bali-resort-and-spa-5
Banyan Tree Bintan; 5*;"Отель Banyan Tree Bintan 5* (Баньян Три Бинтан 5*), собственность знаменитой цепочки роскошных отелей Banyan Tree Hotels & Resorts, член престижной ассоциации Small Luxury Hotels of the World, расположен в небольшой уютной бухте на северо-западной оконечности острова Бинтан, в 45 мин. езды на быстроходном катере от Сингапура.Все 74 виллы отеля крыты тростником и облицованы натуральным камнем, имеют джакузи или частный бассейн. В декоре внутренних помещений преобладают пастельные тона и типично индонезийские мотивы.";Jalan Teluk Berembang Laguna Bintan, Lagoi 29155 Bintan Resorts Indonesia;https://tury.ru/hotel/id/40845-indonesia-bintan-island-banyan-tree-bintan-5
Gran Bahia Principe Coba; 5*;Отель Gran Bahia Principe Coba 5* (Гран Бая Принципе Коба 5*) относится к комплексу Hacienda Dona Isabel и предлагает своим гостям одни из лучших сервисов и услуг на Карибском побережье. Расположен в живописном и очень красивом месте, совсем рядом с белоснежным пляжем. Территория отеля необычайно красива и ухожена - тропический сад, экзотические растения, благоухающие цветы. Здесь, среди теплового моря и настощего зеленого оазиса, Вы проведете незабываемое время, которое запомнится Вам надолго. От аэропорта Канкуна до отеля на машине час езды, 30 минут до пляжа Кармен, 20 минут до Тулума.;Playa Aventuras Akumal. Crtra. Xetumal - Cancun, Km. 249, 77760 Quintana Roo. RIVIERA MAYA (Mexico);https://tury.ru/hotel/id/73040-mexico-cancun-gran-bahia-principe-coba-5
Gran Bahia Principe Turquesa; 5*;Отель Gran Bahia Principe Turquesa 5* рассчитан на самых взыскательных клиентов, которым важен высокий уровень индивидуального сервиса в сочетании с комфортом. Отель принадлежит комплексу Gran Bahia Principe Bavaro Resort. От основного комплекса отличается наличием отдельного ресторана и бассейна, закрытых для других. Отель идеально подходит для спокойного отдыха и для медового месяца. Почувствуйте свой статус в этом по-настоящему королевском раю! Отель находится в 30 минутах езды от аэропорта Punta Cana и в 120 минутах езды от аэропорта La Romana.;Arena Gorda-Macao, Seccion Baigua-Higuey, Provincia La Altagracia, Rep. Dominicana;https://tury.ru/hotel/id/73031-dominican-republic-punta-cana-gran-bahia-principe-turquesa-5
Centara Grand Mirage Beach Resort Pattaya; 5*;Отель Centara Grand Mirage Beach Resort Pattaya 5* расположен в Тайланде, в районе Вонг-Амат курорта Паттайя, в 150 км от международного аэропорта Бангкока. Отель находится в 100 метрах от пляжей Вонг-Амат-Бич и Наклуа-Бич.;277 Moo 5, Naklua, Banglamung, Pattaya, Chonburi, 20150, Thailand;https://tury.ru/hotel/id/73383-thailand-wong-amat-beach-centara-grand-mirage-beach-resort-pattaya-5
Grecotel Royal Park hotel; 5*;Отель состоит из центрального корпуса и небольших белых бунгало. Прекрасный песчаный пляж, живописные сады, атмосфера спокойствия и безмятежности. Ресторан, бары, бассейны, водные горки, комплекс услуг для детей, спортивно-развлекательные мероприятия, обслуживание высокого класса. Отель подойдет для незабываемого семейного отдыха.;GR 85300, Ag. Georgios, Kos, Greece.;https://tury.ru/hotel/id/32884-greece-kos-grecotel-royal-park-5
Badian Island Resort and SPA; 5*;Отель Badian Island Resort and SPA 5* (Бадиан Айланд Резорт энд СПА 5*) - живописно расположен на экзотическом побережье залива Бадиан на юго-западной оконечности острова Себу. Выходящие на белый песчаный пляж, 42 роскошных и просторных сюита (включая Виллы с Бассейном!) построены на 8 гектарах тропических садов. При встрече всем гостям предлагаются осовежающие коктейли, а в номере ждет цветочная ванна. Отсутствие загрязнений и чистый воздух позволяют отдыхающим безмятежно наблюдать за звездами и луной так, как будто они совсем близко. Чарующие виды залива Бадиан и гор высотой до 1000 метров - вся эта нетронутая природа острова и его окрестностей - идеальная атмосфера для релаксации. Всего в 5 минутах на лодке находится чудесный Коралловый Сад с восхитительным подводным миром.;Badian Island Resort & SPA, Badian Island, Cebu, Philippines;https://tury.ru/hotel/id/36329-philippines-cebu-island-badian-island-resort-and-spa-5
